dataset,model,mean_metric,split,max_time,best,fit_time,inference_time,num_trials
pc4,MLP,0.9151675701141356,5,3600,"{'dropout_rate': 0.1, 'hidden_size': 32, 'learning_rate': 0.009577613289272173, 'n_epochs': 100, 'n_layers': 3, 'weight_decay': 0.0005052780463670781}",0.9231750965118408,0.000802993774414,187.0
pc3,MLP,0.8235018849372864,1,3600,"{'dropout_rate': 0.3, 'hidden_size': 256, 'learning_rate': 9.28921583559222e-05, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 0.009997969344023992}",13.477035760879517,0.0027923583984375,170.0
pc3,MLP,0.7986223697662354,2,3600,"{'dropout_rate': 0.1, 'hidden_size': 64, 'learning_rate': 0.008829055009322821, 'n_epochs': 100, 'n_layers': 2, 'weight_decay': 0.007735559346915963}",0.9777839183807372,0.0009107589721679,197.0
pc3,MLP,0.7748662829399109,3,3600,"{'dropout_rate': 0.1, 'hidden_size': 256, 'learning_rate': 0.002454155578547628, 'n_epochs': 100, 'n_layers': 1, 'weight_decay': 2.363974546994571e-05}",0.9843969345092772,0.0009815692901611,188.0
pc3,MLP,0.7495890259742737,4,3600,"{'dropout_rate': 0.1, 'hidden_size': 256, 'learning_rate': 4.9317354411235164e-05, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 0.008233631951340206}",18.23273205757141,0.0041906833648681,178.0
pc3,MLP,0.8116883039474487,5,3600,"{'dropout_rate': 0, 'hidden_size': 64, 'learning_rate': 8.916538015577833e-05, 'n_epochs': 1000, 'n_layers': 3, 'weight_decay': 0.0003980991466471425}",12.232519388198853,0.0009543895721435,166.0
kc2,MLP,0.8403791189193726,1,3600,"{'dropout_rate': 0.3, 'hidden_size': 16, 'learning_rate': 0.0017461676963633046, 'n_epochs': 100, 'n_layers': 2, 'weight_decay': 0.007694177925371805}",0.3371257781982422,0.0004162788391113,460.0
kc2,MLP,0.8181990385055542,2,3600,"{'dropout_rate': 0.3, 'hidden_size': 32, 'learning_rate': 0.002946782479210204, 'n_epochs': 100, 'n_layers': 2, 'weight_decay': 7.984844775748003e-05}",0.342026948928833,0.0004162788391113,462.0
kc2,MLP,0.7696938514709473,3,3600,"{'dropout_rate': 0.1, 'hidden_size': 128, 'learning_rate': 0.0034793399602783192, 'n_epochs': 100, 'n_layers': 2, 'weight_decay': 1.9561703222602726e-05}",0.4085423946380615,0.0006756782531738,377.0
kc2,MLP,0.8582752346992493,4,3600,"{'dropout_rate': 0.1, 'hidden_size': 64, 'learning_rate': 0.0005156440630369177, 'n_epochs': 100, 'n_layers': 3, 'weight_decay': 0.000281558563427085}",0.3969061374664306,0.0006153583526611,414.0
kc2,MLP,0.8112978339195251,5,3600,"{'dropout_rate': 0.1, 'hidden_size': 64, 'learning_rate': 0.0016110459983987484, 'n_epochs': 100, 'n_layers': 3, 'weight_decay': 0.003049029948394349}",0.4145729541778564,0.0006525516510009,404.0
pc1,MLP,0.836728036403656,1,3600,"{'dropout_rate': 0.1, 'hidden_size': 64, 'learning_rate': 0.006849689470333417, 'n_epochs': 100, 'n_layers': 3, 'weight_decay': 2.335500795235942e-05}",0.6739141941070557,0.0008807182312011,221.0
pc1,MLP,0.8526616096496582,2,3600,"{'dropout_rate': 0, 'hidden_size': 32, 'learning_rate': 0.009266364400215749, 'n_epochs': 100, 'n_layers': 2, 'weight_decay': 0.0009138566184259226}",0.6980862617492676,0.000446081161499,277.0
pc1,MLP,0.7486733794212341,3,3600,"{'dropout_rate': 0.1, 'hidden_size': 256, 'learning_rate': 7.620279850353167e-05, 'n_epochs': 1000, 'n_layers': 2, 'weight_decay': 3.54018478758722e-05}",10.0699143409729,0.0018894672393798,260.0
pc1,MLP,0.8315433263778687,4,3600,"{'dropout_rate': 0.1, 'hidden_size': 512, 'learning_rate': 0.00391089924092272, 'n_epochs': 100, 'n_layers': 1, 'weight_decay': 3.5996567907469944e-05}",0.907435655593872,0.0010359287261962,285.0
pc1,MLP,0.8314732313156128,5,3600,"{'dropout_rate': 0.1, 'hidden_size': 256, 'learning_rate': 0.00041975627315424263, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 7.850642774596594e-05}",6.741949081420898,0.0006608963012695,217.0
banknote-authentication,MLP,1.0,1,3600,"{'dropout_rate': 0, 'hidden_size': 256, 'learning_rate': 0.0021753756387870803, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.00014273057724938505}",7.413367033004761,0.0006167888641357,207.0
banknote-authentication,MLP,1.0,2,3600,"{'dropout_rate': 0, 'hidden_size': 32, 'learning_rate': 0.009405261400363801, 'n_epochs': 100, 'n_layers': 2, 'weight_decay': 9.36768293621654e-05}",0.6429264545440674,0.0004148483276367,229.0
banknote-authentication,MLP,1.0,3,3600,"{'dropout_rate': 0, 'hidden_size': 512, 'learning_rate': 0.009363549780802042, 'n_epochs': 100, 'n_layers': 1, 'weight_decay': 5.0623900281144555e-05}",0.9835314750671388,0.0010080337524414,230.0
banknote-authentication,MLP,1.0,4,3600,"{'dropout_rate': 0, 'hidden_size': 256, 'learning_rate': 0.0021753756387870803, 'n_epochs': 1000, 'n_layers': 1, 'weight_decay': 0.00014273057724938505}",10.117023944854736,0.0007305145263671,207.0
